embedding,labels
[0.22352941 0.28627452 0.60784316 Ellipsis 0.3647059 0.3137255 0.38431373],[  0 137 138 139 140 142 143]
[0.16470589 0.75686276 0.32941177 Ellipsis 0.1254902 0.6509804 0.4862745],[  0 299 398]
[0.63529414 0.8156863 0.8039216 Ellipsis 0.8352941 0.21176471 0.49803922],[137 169]
[0.72156864 0.8352941 0.65882355 Ellipsis 0.0 0.0 0.0],[137 233]
[0.4745098 0.4 0.44313726 Ellipsis 0.6313726 1.0 0.0],[51]
[0.27450982 0.32156864 0.65882355 Ellipsis 0.5294118 0.72156864 0.32941177],[  0 137 383]
[0.75686276 0.5803922 0.6039216 Ellipsis 0.56078434 0.5568628 0.34901962],[161 164 170]
[0.27058825 0.47843137 0.77254903 Ellipsis 0.0 0.3254902 1.0],[469]
[0.24705882 0.85490197 0.12941177 Ellipsis 0.6117647 0.64705884 0.07843138],[109]
[0.81960785 0.4862745 0.13333334 Ellipsis 0.5647059 0.7254902 0.6666667],[137 280]
[0.4745098 0.5764706 0.32941177 Ellipsis 1.0 1.0 0.0],[300 316 319]
[0.5568628 0.37254903 0.29803923 Ellipsis 0.26666668 0.6627451 0.0],[137 234 270]
[0.16078432 0.21176471 0.627451 Ellipsis 0.64705884 0.45490196 0.9254902],[  0 416 506]
[0.2901961 0.5647059 0.7254902 Ellipsis 0.52156866 0.56078434 0.6509804],[ 0 73 81 83]
[0.3137255 0.14901961 0.7019608 Ellipsis 0.37254903 0.6117647 0.42352942],[  0 357]
[0.58431375 0.63529414 1.0 Ellipsis 0.07058824 0.22745098 0.45882353],[ 27  29 137]
[0.5882353 0.39215687 0.627451 Ellipsis 0.63529414 0.5176471 1.0],[300 343 351]
[0.6784314 0.10588235 0.49411765 Ellipsis 0.52156866 0.50980395 0.73333335],[498]
[0.5019608 0.3764706 0.30588236 Ellipsis 0.25490198 0.4745098 0.2901961],[136 137]
[0.3529412 0.5568628 0.0 Ellipsis 1.0 0.0 0.43529412],[  0 137 466]
[0.61960787 0.34117648 0.50980395 Ellipsis 0.0 1.0 0.30980393],[137 233 268]
[0.69803923 0.1764706 0.58431375 Ellipsis 0.6901961 0.0 0.0],[137 149]
[0.29803923 0.5882353 0.46666667 Ellipsis 0.7921569 1.0 0.00784314],[343 350]
[0.54509807 0.45490196 0.14117648 Ellipsis 0.6901961 0.0 0.49411765],[137 300 346]
[0.0 0.44705883 0.7294118 Ellipsis 0.0 0.8862745 0.84705883],[366]
[0.6862745 0.3137255 0.5882353 Ellipsis 0.0 0.0 1.0],[65]
[0.36862746 0.19215687 0.5372549 Ellipsis 0.6 0.5568628 0.11372549],[177]
[0.49411765 0.91764706 0.52156866 Ellipsis 0.0 0.28627452 0.0],[  0 300 316 319]
[0.23921569 0.32156864 0.827451 Ellipsis 0.30588236 0.6392157 0.5568628],[363]
[0.6039216 0.28235295 0.4745098 Ellipsis 0.3764706 1.0 0.8784314],[137 151 507]
[0.12941177 0.5176471 0.6117647 Ellipsis 0.0 1.0 0.654902],[362]
[0.38039216 0.89411765 0.37254903 Ellipsis 0.3764706 0.32156864 0.62352943],[  0 376 506]
[0.827451 0.3372549 0.32941177 Ellipsis 0.32941177 0.64705884 1.0],[137 275 276]
[0.23137255 0.42352942 0.5058824 Ellipsis 0.7019608 0.52156866 1.0],[442]
[0.18431373 0.7254902 0.38431373 Ellipsis 0.06666667 0.02352941 0.99215686],[288 454]
[0.7372549 0.67058825 0.5058824 Ellipsis 0.5647059 0.4117647 0.0],[137 241]
[0.40392157 0.4509804 0.43529412 Ellipsis 0.23921569 0.0 1.0],[355]
[0.29803923 0.28627452 0.5254902 Ellipsis 0.0 0.5254902 0.5176471],[  0 378]
[0.09019608 0.5803922 0.6117647 Ellipsis 0.81960785 0.5764706 0.39607844],[  0 524]
[0.77254903 0.22745098 0.58431375 Ellipsis 0.40784314 0.24705882 0.4117647],[37]
[0.41568628 0.4745098 0.3019608 Ellipsis 0.0 0.2 0.0],[283 285 301 304]
[0.24705882 0.42745098 0.54509807 Ellipsis 1.0 0.30588236 0.12941177],[521]
[0.03921569 0.93333334 0.17254902 Ellipsis 0.5568628 0.5294118 0.8352941],[339 345]
[0.20784314 0.39215687 0.5647059 Ellipsis 0.7607843 0.5372549 0.7607843],[43]
[0.23137255 0.7372549 0.22352941 Ellipsis 0.40392157 1.0 1.0],[  0 300 316 319]
[0.21960784 0.2509804 0.6039216 Ellipsis 0.47058824 0.4627451 0.14117648],[380]
[0.50980395 0.34901962 0.20784314 Ellipsis 1.0 0.6745098 0.0],[314]
[0.7019608 0.31764707 0.4392157 Ellipsis 0.88235295 0.10196079 0.3529412],[  0 137 444]
[0.03921569 0.40392157 0.9098039 Ellipsis 1.0 1.0 1.0],[ 0 96 97]
[0.2509804 0.48235294 0.3137255 Ellipsis 0.41568628 0.0 0.49019608],[301 305]
[0.02352941 0.48235294 0.6156863 Ellipsis 0.8352941 0.0 0.7490196],[ 3 42 50]
[0.65882355 0.27058825 0.5019608 Ellipsis 0.3647059 0.25490198 0.7882353],[495]
[0.31764707 0.19607843 0.5803922 Ellipsis 0.34509805 0.5568628 0.5803922],[  0 137 386]
[0.3882353 0.6509804 0.5647059 Ellipsis 1.0 1.0 0.07843138],[52]
[0.08235294 0.41960785 0.98039216 Ellipsis 0.64705884 0.08627451 1.0],[364 365]
[0.44313726 0.2784314 0.6431373 Ellipsis 0.0 0.7490196 0.85490197],[72 73 81 85]
[0.8039216 0.827451 0.44705883 Ellipsis 0.22745098 1.0 0.2901961],[161 164 170]
[0.28235295 0.6392157 0.5764706 Ellipsis 0.84313726 1.0 1.0],[427 431]
[0.17254902 1.0 0.22352941 Ellipsis 1.0 0.0 0.0],[427 430]
[0.89411765 0.5372549 0.26666668 Ellipsis 0.1254902 0.5176471 0.5372549],[137 227]
[0.7058824 0.30588236 0.6039216 Ellipsis 0.0 0.40784314 0.8235294],[137 264]
[0.46666667 0.46666667 0.5882353 Ellipsis 1.0 0.0 0.0],[  0 137 446]
[0.34117648 0.2784314 0.57254905 Ellipsis 1.0 0.0 1.0],[92]
[0.16078432 0.49411765 0.8039216 Ellipsis 0.15294118 0.3882353 1.0],[  0 520]
[0.15294118 0.3647059 0.8117647 Ellipsis 0.41960785 0.0 0.5019608],[478]
[0.36078432 0.5803922 0.13333334 Ellipsis 0.30588236 0.74509805 0.9490196],[393 504]
[0.7529412 0.33333334 0.2627451 Ellipsis 0.7607843 0.28627452 0.88235295],[137 270 272]
[0.7882353 0.34117648 0.5372549 Ellipsis 0.44705883 0.5686275 0.9490196],[202]
[0.17254902 1.0 0.0 Ellipsis 0.8392157 0.0 0.0],[300 339]
[0.6666667 0.3372549 0.40392157 Ellipsis 0.16862746 0.654902 0.9019608],[137 272]
[0.27450982 0.29803923 0.5921569 Ellipsis 0.27450982 0.4 0.7176471],[203]
[0.05882353 0.93333334 0.21176471 Ellipsis 1.0 1.0 0.25882354],[300 319 510]
[0.41568628 0.3647059 0.49803922 Ellipsis 0.7137255 0.15686275 0.47058824],[520]
[0.65882355 0.627451 0.8392157 Ellipsis 0.46666667 0.42745098 0.0],[ 27  33 137]
[0.5372549 0.3254902 0.36078432 Ellipsis 0.5803922 0.45882353 0.69411767],[60]
[0.0 0.5019608 0.6392157 Ellipsis 0.40784314 0.13725491 1.0],[  0 447]
[0.68235296 0.38431373 0.7058824 Ellipsis 0.21568628 0.06666667 0.23137255],[ 35 137]
[0.81960785 0.8509804 0.827451 Ellipsis 0.52156866 0.32941177 0.5529412],[  0  10 137 138 139 140]
[0.76862746 0.32941177 0.28235295 Ellipsis 1.0 0.49803922 1.0],[223 225]
[0.0 0.43529412 0.5647059 Ellipsis 0.04313726 1.0 1.0],[380]
[0.70980394 0.41960785 0.46666667 Ellipsis 0.4117647 0.38039216 0.04313726],[137 282]
[0.31764707 0.3529412 0.6039216 Ellipsis 0.5372549 0.6392157 0.0],[89]
[0.5254902 0.50980395 0.3372549 Ellipsis 0.0 0.47058824 1.0],[201]
"[0.43529412 0.47058824 0.49803922 Ellipsis 0.52156866 0.50980395
 0.73333335]",[35]
[0.49411765 0.23137255 0.63529414 Ellipsis 0.7647059 0.8980392 0.7372549],[200]
[0.8 0.39607844 0.27058825 Ellipsis 0.16078432 0.34509805 0.0],[161 162 164 165 166 167 168]
[0.6784314 0.10588235 0.49411765 Ellipsis 1.0 0.9254902 0.5647059],[300 326]
[0.5686275 0.5803922 0.5294118 Ellipsis 1.0 1.0 0.01960784],[  0  68 137 507]
[0.33333334 0.34117648 0.73333335 Ellipsis 0.7294118 0.04705882 0.07058824],[126 129 131]
[0.21960784 0.54509807 0.0 Ellipsis 0.4117647 0.7607843 1.0],[429 510]
[0.5568628 0.8117647 0.5647059 Ellipsis 0.7921569 0.0 1.0],[343 348 351 352]
[0.32941177 0.34117648 0.89411765 Ellipsis 0.7647059 0.18039216 0.6745098],[366]
[0.5529412 0.3647059 0.3764706 Ellipsis 0.48235294 0.10588235 0.81960785],[ 53 137]
[0.0 1.0 0.09411765 Ellipsis 1.0 0.5254902 0.69803923],[ 0 80]
[0.60784316 0.34901962 0.6156863 Ellipsis 0.43137255 0.22745098 0.23137255],[14]
[0.29411766 0.40392157 0.5529412 Ellipsis 0.11372549 0.84313726 1.0],[ 35 137]
[0.18039216 0.3647059 0.4 Ellipsis 0.0 0.3647059 0.1882353],[  0 480 506]
[0.69803923 0.47058824 0.8117647 Ellipsis 0.49019608 1.0 1.0],[ 72  73  74  76  77 137]
[0.67058825 0.09411765 0.5058824 Ellipsis 0.52156866 0.50980395 0.73333335],[501 503]
[0.09019608 0.99607843 0.0 Ellipsis 0.52156866 0.50980395 0.73333335],[454]
[0.2509804 0.5294118 0.56078434 Ellipsis 0.76862746 0.5137255 0.4],[  0 413 506]
[0.61960787 0.7254902 0.87058824 Ellipsis 0.8627451 0.9411765 0.1882353],[137 466]
[0.4509804 0.42745098 0.7882353 Ellipsis 0.92941177 0.6627451 0.76862746],[286 287 289 290]
[0.31764707 0.27450982 0.60784316 Ellipsis 0.30588236 0.6039216 0.5686275],[  0 407]
[0.65882355 0.16470589 0.5568628 Ellipsis 1.0 0.5764706 0.61960787],[137 271]
[0.23137255 1.0 0.0 Ellipsis 0.0 0.99607843 1.0],[300 307 343 348 351 352 353]
[0.73333335 0.36862746 0.43529412 Ellipsis 0.8901961 0.52156866 0.77254903],[137 270 276]
[0.4509804 0.34509805 0.5254902 Ellipsis 0.84705883 1.0 0.0],[72 73 81 85]
[0.2 1.0 0.14117648 Ellipsis 1.0 0.61960787 0.6745098],[314]
[0.43137255 0.70980394 0.5019608 Ellipsis 0.6901961 0.5882353 0.7294118],[403]
[0.5411765 0.23529412 0.4745098 Ellipsis 0.14117648 0.3882353 0.5764706],[ 0 39]
[0.50980395 0.70980394 0.7882353 Ellipsis 0.1764706 1.0 0.0],[12 69]
[0.14901961 0.65882355 0.19607843 Ellipsis 0.0 0.36862746 0.9607843],[300 306 307 513]
[0.2901961 0.19607843 0.7647059 Ellipsis 0.7176471 0.0 1.0],[  0 473]
[0.24705882 1.0 0.8117647 Ellipsis 1.0 1.0 0.12941177],[  0 358 465]
[0.8117647 1.0 0.98039216 Ellipsis 0.62352943 0.26666668 1.0],[  0   9  10 137]
[0.43137255 0.40392157 0.69411767 Ellipsis 0.5882353 0.98039216 0.09411765],[  0 137 359]
[0.7411765 0.6313726 0.05490196 Ellipsis 0.0 0.1882353 1.0],[ 35 137]
[0.42352942 0.6 0.74509805 Ellipsis 0.03529412 0.01568628 1.0],[ 0  3 71]
[0.0 0.7372549 0.47843137 Ellipsis 0.0 0.80784315 0.7058824],[404 410]
[0.7372549 0.3137255 0.32156864 Ellipsis 0.2509804 0.5647059 0.7058824],[137 272]
[0.5921569 0.31764707 0.4392157 Ellipsis 0.3019608 0.0 0.0],[137 320 506]
[0.1254902 0.25490198 0.6431373 Ellipsis 0.9647059 0.9098039 0.9764706],[  0 379]
[0.63529414 0.30588236 0.5372549 Ellipsis 0.30588236 0.72156864 0.29411766],[  0 137 359]
[0.8745098 0.37254903 0.3372549 Ellipsis 0.6745098 0.49019608 0.28627452],[137 278]
[0.5411765 0.53333336 0.3764706 Ellipsis 0.7019608 0.8235294 0.6862745],[  0 512]
[0.21176471 0.22352941 0.654902 Ellipsis 0.0 0.8235294 0.09411765],[475 510]
[0.6431373 0.9607843 0.84313726 Ellipsis 0.27058825 0.28627452 0.07058824],[12 69]
[0.3647059 0.17254902 0.6117647 Ellipsis 0.3372549 0.9607843 0.0],[381]
[0.26666668 0.15294118 0.62352943 Ellipsis 0.69411767 1.0 0.35686275],[  0 137 143 146]
[0.21568628 0.7764706 0.3764706 Ellipsis 0.30980393 1.0 0.0],[450]
[0.7411765 0.27450982 0.36862746 Ellipsis 0.5921569 0.70980394 1.0],[ 32  33  35 137]
"[0.34117648 0.46666667 0.61960787 Ellipsis 0.47843137 0.15686275
 0.61960787]",[137 218 254]
[0.33333334 0.37254903 0.4862745 Ellipsis 0.5411765 0.627451 0.47058824],[ 72  73  81  82 137]
[0.68235296 0.3647059 0.23137255 Ellipsis 1.0 0.35686275 0.23529412],[137 277]
"[0.5686275  0.43137255 0.4862745  0.45882353 0.38039216 0.
 0.69803923 0.827451   0.7882353  0.28627452 0.63529414 0.16078432
 0.26666668 0.3529412  0.76862746 0.8666667  1.         0.3372549
 0.9098039  0.78431374 0.76862746 0.08627451 0.5019608  0.5803922
 0.5882353  0.1764706  0.3647059  0.5803922  0.7921569  0.45490196
 1.         0.45882353 0.92156863 0.44313726 0.94509804 0.3647059
 0.30980393 0.8509804  0.65882355 0.34509805 0.94509804 0.41960785
 0.53333336 0.41568628 1.         0.4        0.23137255 0.61960787
 0.47843137 0.6431373  0.19215687 0.23921569 0.23529412 0.45490196
 0.50980395 0.43529412 0.9098039  1.         0.3764706  0.8235294
 0.79607844 0.35686275 0.84313726 0.92941177 0.36078432 0.38431373
 0.42745098 0.         0.35686275 0.5803922  0.85882354 0.
 0.         0.         0.44313726 0.6156863  0.28627452 0.16078432
 0.5254902  0.78039217 0.45490196 0.64705884 0.8627451  0.3647059
 0.65882355 0.         0.4509804  0.99607843 0.827451   0.25490198
 0.61960787 0.5803922  1.         0.5647059  1.         0.42745098
 0.34509805 0.6627451  0.5137255  1.         0.6039216  0.20784314
 1.         0.6745098  0.4509804  0.84313726 0.6901961  0.91764706
 0.49803922 0.01568628 0.         0.39215687 0.         0.
 0.5137255  0.5058824  0.42745098 0.5137255  0.98039216 0.36078432
 0.         0.654902   0.14117648 0.15294118 1.         0.84705883
 0.6431373  0.75686276 0.5921569  0.58431375 0.36862746 0.44705883
 0.1882353  0.         0.7529412  0.78039217 0.75686276 0.09019608
 0.5058824  0.4627451  0.03529412 0.33333334 0.7058824  1.
 1.         0.16078432 0.6392157  0.84313726 0.76862746 0.48235294
 0.74509805 0.67058825 0.79607844 0.07450981 0.3019608  0.5411765
 0.6392157  0.34117648 1.         0.6784314  0.8745098  0.6627451
 0.4509804  0.2509804  1.         0.6039216  0.7176471  0.25490198
 0.6117647  0.29803923 0.64705884 0.5803922  0.8039216  0.5882353
 0.16470589 0.49019608 0.47058824 0.28235295 0.03137255 0.05490196
 0.28627452 0.1254902  0.7254902  0.65882355 0.7019608  0.58431375
 0.4        0.36862746 0.15294118 0.44705883 0.8039216  0.73333335
 0.5058824  0.45490196 0.5019608  0.19215687 0.         0.77254903
 0.85882354 0.         0.         0.         0.54901963 0.53333336
 0.03137255 0.0627451  0.7490196  0.70980394 0.78431374 0.3529412
 0.39215687 0.4117647  0.8        0.34509805 0.43137255 0.3019608
 0.3254902  0.16470589 0.6117647  0.1764706  0.         0.60784316
 1.         0.01960784 0.49803922 1.         0.24705882 1.
 0.42745098 0.6862745  0.9647059  0.6862745  0.6039216  0.30980393
 0.36862746 0.79607844 0.35686275 0.12156863 0.         1.
 0.37254903 0.         0.7607843  0.5254902  0.99607843 0.5803922
 1.         0.3254902  0.8745098  0.37254903 0.         0.
 0.8862745  0.6313726  0.5921569  0.6862745  0.6431373  0.47843137
 0.48235294 0.43529412 0.34509805 0.         0.6313726  0.73333335
 0.6392157  0.21960784 0.60784316 0.3137255  0.14509805 0.3764706
 0.5882353  1.         1.         0.30980393 0.8039216  0.8745098
 0.5882353  0.5058824  0.62352943 0.56078434 0.67058825 0.2509804
 0.5137255  0.4862745  0.61960787 0.43529412 1.         0.6313726
 0.88235295 0.5921569  0.50980395 0.38039216 0.8627451  0.63529414
 0.77254903 0.14509805 0.5254902  0.54901963 0.6313726  0.49803922
 0.8980392  0.44313726 0.34117648 0.6509804  0.24313726 0.5058824
 0.39607844 0.2509804  0.68235296 0.30980393 0.56078434 0.627451
 1.         0.6        0.40784314 0.40784314 0.6117647  0.36862746
 0.50980395 0.72156864 0.6862745  0.43529412 0.5764706  0.08627451
 0.25490198 0.47058824 0.8117647  0.         0.         0.
 0.57254905 0.8509804  0.11372549 0.03529412 0.7372549  0.7372549
 0.67058825 0.6        0.70980394 0.37254903 0.7764706  0.40392157
 0.827451   0.39215687 0.3254902  0.27058825 0.5411765  0.47843137
 0.38431373 0.5019608  1.         0.67058825 0.32941177 0.9019608
 0.         1.         0.6784314  0.54901963 0.74509805 0.5411765
 0.61960787 0.31764707 0.4392157  0.7647059  0.78431374 0.13725491
 0.         1.         0.08627451 0.         1.         0.5921569
 0.94509804 0.17254902 1.         0.30588236 0.34901962 0.5058824
 0.         0.38431373 0.69803923 0.7411765  0.4392157  0.54901963
 0.60784316 0.2784314  0.49019608 0.5529412  0.5803922  0.13333334
 0.58431375 0.5764706  0.6        0.38431373 0.65882355 0.43137255
 0.01960784 0.32941177 0.57254905 0.5254902  0.8627451  0.34901962
 0.52156866 0.70980394 0.49411765 0.7254902  0.654902   0.44705883
 0.6117647  0.39607844 0.2509804  0.4117647  0.6901961  0.14901961
 0.8        0.5254902  0.60784316 0.70980394 0.67058825 0.22745098
 0.8509804  0.6313726  0.48235294 0.15294118 0.7607843  0.3137255
 0.37254903 0.48235294 0.57254905 0.4627451  0.36862746 0.3254902
 0.41568628 0.43137255 0.27058825 0.79607844 0.21568628 0.26666668
 0.68235296 0.54901963 0.43137255 0.3019608  0.08235294 0.8784314
 0.4509804  0.4627451  0.7137255  0.87058824 0.6784314  0.47843137
 0.29803923 0.         0.34509805 0.7058824  0.48235294 0.31764707
 0.23137255 0.89411765 0.39215687 0.5294118  0.32941177 0.75686276
 0.45490196 0.29803923 0.4627451  0.19215687 0.5058824  0.5254902
 0.4627451  0.08235294 0.16470589 0.3254902  0.39215687 0.53333336
 0.5529412  0.20392157 0.4392157  0.07450981 0.8745098  0.3372549
 0.         0.2509804  0.3137255  0.81960785 0.43529412 0.5803922
 0.50980395 0.19607843 0.6        0.627451   0.33333334 0.4745098
 0.38431373 0.58431375 0.58431375 0.4509804  0.14901961 0.
 0.6313726  0.32941177 0.34117648 0.3529412  0.5176471  0.5137255
 0.29803923 0.         0.06666667 0.25490198 0.50980395 0.33333334
 0.50980395 1.         0.6784314  0.10196079 0.49411765 0.37254903
 0.7607843  0.34901962 0.2627451  0.60784316 0.6039216  0.63529414
 0.56078434 0.26666668 0.44313726 0.5882353  0.4392157  0.09803922
 0.39215687 1.         0.7921569  0.7647059  0.         0.7019608
 0.36862746 0.85490197 0.3137255  0.58431375 0.44705883 0.72156864
 0.50980395 0.18039216 0.7176471  0.4627451  0.4392157  0.2784314
 0.65882355 0.53333336 0.54509807 0.56078434 0.8117647  0.7058824
 0.43137255 0.62352943 0.26666668 0.5176471  0.49411765 0.52156866
 0.53333336 0.4        0.62352943 0.28235295 0.48235294 0.30980393
 0.57254905 0.24313726 0.31764707 0.7254902  0.30588236 0.5764706
 0.40392157 0.54509807 0.40784314 0.54509807 0.5764706  0.40784314
 0.5764706  0.4745098  0.3882353  0.5372549  0.45490196 0.57254905
 0.48235294 0.4117647  0.43137255 0.41568628 0.47058824 0.49411765
 0.52156866 0.50980395 0.3529412  0.49019608 0.53333336 0.56078434
 0.42745098 0.50980395 0.44313726 0.47058824 0.44313726 0.46666667
 0.42352942 0.45490196 0.5372549  0.56078434 0.4392157  0.5764706
 0.47058824 0.5529412  0.53333336 0.5254902  0.42745098 0.57254905
 0.5137255  0.45490196 0.5058824  0.59607846 0.49019608 0.5882353
 0.4117647  0.42352942 0.4392157  0.5019608  0.5372549  0.4745098
 0.50980395 0.5568628  0.45490196 0.47058824 0.4        0.49019608
 0.4509804  0.46666667 0.4745098  0.49411765 0.49411765 0.50980395
 0.4509804  0.5294118  0.5137255  0.73333335]",[137 524]
[0.3254902 0.91764706 0.10588235 Ellipsis 0.0 0.17254902 1.0],[300 307 312 313 315]
[0.7764706 0.29411766 0.19607843 Ellipsis 0.43137255 0.60784316 0.61960787],[137 227]
[0.28235295 1.0 0.6 Ellipsis 0.9843137 0.61960787 1.0],[  0 446]
[0.11372549 0.58431375 0.4 Ellipsis 0.5411765 0.84313726 0.02352941],[73 81 85]
[0.8980392 0.45882353 0.13725491 Ellipsis 0.6039216 0.19215687 0.6509804],[137 158]
[0.23529412 0.3137255 0.69803923 Ellipsis 0.44705883 0.6 0.30980393],[  0  49 137]
[0.35686275 0.46666667 0.4 Ellipsis 0.4627451 0.72156864 0.4392157],[300 341]
[0.39607844 0.38431373 0.34901962 Ellipsis 0.47058824 0.9137255 0.0],[396 398]
[0.34509805 0.34117648 0.75686276 Ellipsis 0.12941177 0.81960785 0.5764706],[ 0 18]
[0.42745098 0.4 0.29803923 Ellipsis 1.0 0.39607844 0.81960785],[137 282]
[0.7882353 1.0 0.77254903 Ellipsis 0.40392157 0.0 0.0],[137 466]
[0.6117647 0.25490198 0.5764706 Ellipsis 0.4117647 0.24313726 0.7607843],[137 466]
[0.45490196 0.57254905 0.6784314 Ellipsis 0.76862746 1.0 0.4],[  0 319]
[0.7764706 0.48235294 0.6745098 Ellipsis 1.0 1.0 0.04705882],[137 525]
[0.2627451 0.34117648 0.7607843 Ellipsis 0.49411765 0.11372549 0.5647059],[ 0 59]
[0.0 1.0 0.0 Ellipsis 1.0 1.0 0.8784314],[343 351 352]
[0.2784314 0.33333334 0.7607843 Ellipsis 1.0 0.7058824 0.2627451],[  0 137 382]
[0.5372549 0.3372549 0.6627451 Ellipsis 0.52156866 0.50980395 0.73333335],[  0 500 510]
[0.22352941 0.4 0.43529412 Ellipsis 1.0 1.0 0.88235295],[  0 344]
[0.3019608 0.22352941 0.67058825 Ellipsis 0.57254905 0.5921569 0.5058824],[  0 498 506]
[0.39215687 0.5647059 0.73333335 Ellipsis 0.61960787 0.7294118 0.92156863],[14]
[0.25882354 0.78039217 0.5294118 Ellipsis 1.0 0.3137255 0.35686275],[ 0 72 73 74 80]
[0.49803922 0.5568628 0.5254902 Ellipsis 0.85882354 0.65882355 1.0],[  0 345]
[0.20392157 0.48235294 0.7647059 Ellipsis 0.0 0.63529414 0.6745098],[  0 362]
[0.15294118 0.35686275 0.62352943 Ellipsis 0.3137255 0.65882355 0.7058824],[438]
[0.3137255 0.67058825 0.45490196 Ellipsis 0.7137255 0.99607843 0.40392157],[ 72  73  74  76  80 137]
[0.2627451 0.78039217 0.8156863 Ellipsis 0.5372549 1.0 1.0],[  0   3  71 509]
[0.07058824 0.3372549 0.6901961 Ellipsis 0.0 1.0 0.0],[427 431]
[0.67058825 0.44705883 0.5372549 Ellipsis 0.02352941 0.627451 0.54509807],[137 267]
[0.40784314 1.0 0.6117647 Ellipsis 0.01176471 0.6509804 0.4862745],[  0 137 511]
[0.2 0.49411765 0.65882355 Ellipsis 0.0 0.0 0.98039216],[121]
[0.32941177 0.5411765 0.41960785 Ellipsis 1.0 1.0 0.0],[ 0 72 73 74 78 80]
[0.10980392 1.0 0.0 Ellipsis 1.0 1.0 0.0],[440]
[0.43529412 0.28627452 0.4862745 Ellipsis 0.12156863 0.23921569 0.4392157],[137 493]
[0.24705882 0.18431373 0.6901961 Ellipsis 0.7254902 0.23921569 0.21960784],[  0 137 417]
